,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
24250,24251,18-30,Female,Advanced,39,13,3,82,95,44,100,5,3,A,18,9,35,9,5,D
71282,71283,18-30,Female,Advanced,11,5,15,91,62,34,39,4,1,C,3,8,16,11,19,R
17568,17569,18-30,Female,Advanced,8,23,25,89,26,56,82,4,0,A,17,14,29,2,8,R
17575,17576,18-30,Female,Advanced,17,20,3,6,31,55,99,9,2,A,9,17,23,17,29,R
71263,71264,18-30,Female,Advanced,5,28,8,88,69,41,4,5,0,C,9,16,2,11,29,R
37351,37352,18-30,Female,Advanced,25,17,8,31,57,40,21,10,0,B,11,11,7,13,13,D
71239,71240,18-30,Female,Advanced,30,4,9,90,88,7,51,2,1,B,13,27,21,14,28,R
57613,57614,18-30,Female,Advanced,15,3,23,44,0,8,34,0,2,B,7,0,43,6,25,D
37332,37333,18-30,Female,Advanced,0,7,11,77,68,2,82,1,4,C,10,23,18,12,18,R
86501,86502,18-30,Female,Advanced,46,0,13,44,52,4,62,5,3,C,9,28,22,6,6,R
71199,71200,18-30,Female,Advanced,48,16,17,12,0,89,64,1,2,C,18,34,49,1,29,D
17667,17668,18-30,Female,Advanced,43,8,11,63,66,77,98,6,3,A,11,4,15,18,2,D
96488,96489,18-30,Female,Advanced,44,18,25,16,18,65,93,3,1,C,9,9,0,9,26,R
37289,37290,18-30,Female,Advanced,11,7,2,53,13,63,74,0,0,B,16,35,34,2,21,D
57630,57631,18-30,Female,Advanced,32,19,2,71,79,14,94,5,3,C,17,18,1,10,28,D
86517,86518,18-30,Female,Advanced,44,18,5,88,80,22,18,8,0,B,16,15,13,17,23,D
71188,71189,18-30,Female,Advanced,22,1,17,13,62,15,40,8,3,B,17,4,38,19,14,R
93015,93016,18-30,Female,Advanced,25,10,22,59,41,52,54,7,0,C,18,10,50,13,11,R
17744,17745,18-30,Female,Advanced,15,23,20,17,35,68,74,10,1,B,9,16,47,18,8,D
93031,93032,18-30,Female,Advanced,13,9,11,17,67,50,74,7,3,C,17,17,30,5,16,R
57647,57648,18-30,Female,Advanced,31,21,8,72,8,67,77,2,2,A,0,31,40,15,2,R
