,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
75629,75630,18-30,Male,Advanced,20,4,2,99,20,69,25,6,2,B,17,25,41,14,18,R
74141,74142,18-30,Male,Advanced,12,7,0,28,11,39,25,1,1,C,4,21,43,2,29,D
26227,26228,18-30,Male,Advanced,18,22,16,90,7,28,93,2,0,C,0,2,1,18,19,R
26210,26211,18-30,Male,Advanced,21,3,21,0,39,61,1,7,2,C,17,26,24,2,27,R
74148,74149,18-30,Male,Advanced,11,2,6,65,3,44,73,6,2,B,15,13,19,6,13,D
74161,74162,18-30,Male,Advanced,32,30,2,4,78,15,7,2,0,A,2,30,16,10,14,R
74179,74180,18-30,Male,Advanced,15,24,0,76,90,10,24,4,0,A,0,22,49,12,15,R
74117,74118,18-30,Male,Advanced,31,28,20,73,65,90,59,2,1,B,14,32,42,4,6,D
26186,26187,18-30,Male,Advanced,11,28,5,68,6,26,77,1,2,A,1,11,6,15,22,R
74263,74264,18-30,Male,Advanced,36,11,20,9,51,93,80,8,2,A,7,18,44,9,10,D
74269,74270,18-30,Male,Advanced,39,10,22,65,99,50,68,1,2,A,0,17,39,7,26,R
26104,26105,18-30,Male,Advanced,39,7,17,57,54,39,77,2,4,B,0,36,39,5,11,R
74316,74317,18-30,Male,Advanced,23,7,24,41,22,4,89,0,2,C,2,9,11,0,14,D
74334,74335,18-30,Male,Advanced,7,14,17,77,15,59,28,7,3,B,7,16,26,7,27,R
74372,74373,18-30,Male,Advanced,23,27,4,52,41,27,29,9,1,A,16,10,4,11,21,R
74247,74248,18-30,Male,Advanced,12,18,25,82,53,98,59,8,2,B,1,13,26,6,20,R
74391,74392,18-30,Male,Advanced,3,7,25,17,49,5,72,6,4,C,12,35,29,8,29,D
74093,74094,18-30,Male,Advanced,1,25,4,6,64,51,45,10,2,B,14,5,38,12,23,D
74044,74045,18-30,Male,Advanced,29,9,15,2,31,55,2,4,2,B,18,30,26,6,17,R
73828,73829,18-30,Male,Advanced,50,20,8,94,38,14,0,2,3,C,2,15,29,9,18,R
26586,26587,18-30,Male,Advanced,24,23,3,7,10,28,67,8,2,C,6,10,27,3,22,D
26585,26586,18-30,Male,Advanced,43,21,25,0,66,77,78,0,3,B,10,12,39,7,24,D
73857,73858,18-30,Male,Advanced,8,30,16,84,70,8,86,8,4,A,12,3,49,20,19,R
73881,73882,18-30,Male,Advanced,14,28,4,65,88,99,37,1,2,B,9,9,12,18,4,R
73892,73893,18-30,Male,Advanced,24,26,15,62,9,28,92,0,2,A,9,18,15,7,30,D
26302,26303,18-30,Male,Advanced,4,6,11,82,94,31,99,4,2,A,7,35,22,10,4,D
26542,26543,18-30,Male,Advanced,16,19,14,56,96,75,60,2,2,C,18,19,40,3,23,D
73905,73906,18-30,Male,Advanced,15,7,15,47,94,11,88,3,2,C,0,6,30,4,15,D
26491,26492,18-30,Male,Advanced,28,19,4,31,87,31,66,7,1,C,17,31,46,2,20,R
73950,73951,18-30,Male,Advanced,21,25,0,94,12,57,56,3,1,B,16,35,22,7,25,R
26455,26456,18-30,Male,Advanced,17,30,7,70,13,95,73,4,3,C,3,21,4,0,21,R
26391,26392,18-30,Male,Advanced,47,19,1,47,98,86,53,8,3,B,10,36,17,19,2,R
26375,26376,18-30,Male,Advanced,16,21,16,46,65,44,37,2,0,B,12,12,21,14,15,D
26535,26536,18-30,Male,Advanced,19,12,3,73,36,78,97,3,0,C,7,16,18,9,0,R
26052,26053,18-30,Male,Advanced,44,12,9,70,100,5,86,3,4,B,9,29,34,15,25,D
74460,74461,18-30,Male,Advanced,48,16,4,20,3,60,6,6,1,A,18,18,50,19,21,D
74471,74472,18-30,Male,Advanced,42,6,14,94,31,22,22,10,2,A,7,35,11,18,24,R
25857,25858,18-30,Male,Advanced,29,29,13,52,72,98,84,4,4,B,12,27,8,7,30,D
25845,25846,18-30,Male,Advanced,43,1,12,98,82,24,45,3,2,C,14,24,26,7,16,R
25818,25819,18-30,Male,Advanced,40,28,22,64,62,97,34,1,0,B,3,10,7,14,7,R
74817,74818,18-30,Male,Advanced,43,3,17,69,4,1,31,8,4,C,11,10,50,2,8,R
74823,74824,18-30,Male,Advanced,48,24,10,81,39,78,90,2,2,B,17,20,17,8,4,D
74839,74840,18-30,Male,Advanced,30,20,10,95,36,39,76,7,2,C,17,18,14,19,27,R
74695,74696,18-30,Male,Advanced,11,27,4,2,1,36,2,1,1,B,11,32,26,10,1,R
