,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
58581,58582,18-30,Female,Beginner,9,3,5,63,60,66,64,8,3,B,3,34,32,10,17,D
56690,56691,18-30,Female,Beginner,35,22,7,96,70,42,76,8,2,C,9,3,20,19,26,R
56763,56764,18-30,Female,Beginner,15,1,18,40,80,31,11,2,2,C,15,3,43,12,21,R
12713,12714,18-30,Female,Beginner,22,19,2,49,42,21,55,5,1,B,18,27,35,5,24,D
56741,56742,18-30,Female,Beginner,28,21,16,35,65,21,90,3,1,A,0,17,17,6,26,R
41561,41562,18-30,Female,Beginner,30,29,2,84,12,26,44,10,3,B,10,11,34,3,18,R
41576,41577,18-30,Female,Beginner,25,17,21,87,96,23,51,2,3,B,5,11,35,14,5,D
41577,41578,18-30,Female,Beginner,13,15,14,11,15,52,31,8,3,A,13,24,14,13,10,R
56705,56706,18-30,Female,Beginner,39,20,5,13,53,32,61,9,3,B,9,28,5,10,29,D
84523,84524,18-30,Female,Beginner,20,15,10,18,76,97,8,3,1,C,8,4,1,20,16,R
56770,56771,18-30,Female,Beginner,25,10,1,93,58,91,17,9,3,A,14,10,32,13,7,D
41444,41445,18-30,Female,Beginner,43,21,7,22,10,26,57,1,4,B,5,21,36,14,26,R
56466,56467,18-30,Female,Beginner,35,3,10,22,35,76,58,7,2,A,14,30,12,16,16,D
41462,41463,18-30,Female,Beginner,35,12,21,11,82,22,22,8,2,C,15,8,9,15,30,R
56434,56435,18-30,Female,Beginner,20,0,20,36,90,40,3,4,1,C,0,16,42,8,27,R
56585,56586,18-30,Female,Beginner,23,21,13,88,6,41,76,6,4,A,17,4,27,15,8,R
56581,56582,18-30,Female,Beginner,40,25,4,73,9,65,2,3,4,C,2,25,49,10,9,R
56575,56576,18-30,Female,Beginner,15,9,18,94,5,71,79,0,0,C,4,21,23,16,28,D
57006,57007,18-30,Female,Beginner,36,29,24,19,7,78,56,1,4,A,6,15,9,13,8,D
41638,41639,18-30,Female,Beginner,8,21,5,2,53,48,82,7,2,A,3,10,43,17,5,D
12531,12532,18-30,Female,Beginner,28,6,11,25,89,86,50,9,1,B,17,1,33,12,30,D
41633,41634,18-30,Female,Beginner,36,3,20,57,37,14,26,5,2,A,4,12,20,15,10,R
41596,41597,18-30,Female,Beginner,19,12,14,70,17,40,61,7,2,A,11,11,28,5,19,R
41670,41671,18-30,Female,Beginner,15,13,8,36,64,93,79,2,3,B,17,8,19,20,4,D
41531,41532,18-30,Female,Beginner,43,15,16,42,95,39,72,2,2,A,10,10,43,20,2,R
56788,56789,18-30,Female,Beginner,6,1,23,0,55,30,2,10,3,A,13,12,42,5,15,D
41731,41732,18-30,Female,Beginner,3,20,3,27,92,51,48,10,3,C,5,17,40,10,28,R
56542,56543,18-30,Female,Beginner,31,1,18,79,11,35,86,0,4,A,14,3,41,12,21,R
41703,41704,18-30,Female,Beginner,3,25,8,2,44,25,28,3,0,A,10,15,0,11,11,D
12574,12575,18-30,Female,Beginner,19,6,22,89,88,56,2,10,3,A,2,26,20,4,10,D
56556,56557,18-30,Female,Beginner,31,28,22,94,100,37,100,8,4,B,16,30,28,12,5,D
41681,41682,18-30,Female,Beginner,49,15,25,10,32,75,64,7,2,C,18,6,3,1,9,R
12549,12550,18-30,Female,Beginner,43,11,16,86,88,30,43,7,1,C,10,20,46,16,2,D
57000,57001,18-30,Female,Beginner,0,3,24,15,66,40,42,10,3,A,16,18,47,7,10,D
41525,41526,18-30,Female,Beginner,0,11,3,10,85,24,34,0,1,C,16,7,10,2,4,R
56680,56681,18-30,Female,Beginner,9,4,2,67,99,33,85,1,1,C,10,35,9,18,9,R
57804,57805,18-30,Female,Beginner,30,22,5,14,14,50,13,2,3,A,16,19,16,10,11,D
84472,84473,18-30,Female,Beginner,19,3,20,9,5,33,28,10,0,C,13,27,6,17,11,R
57857,57858,18-30,Female,Beginner,48,19,12,40,18,45,59,2,1,A,11,12,31,11,28,R
12886,12887,18-30,Female,Beginner,41,6,16,53,10,98,54,10,4,B,8,28,22,18,0,R
84490,84491,18-30,Female,Beginner,16,11,0,31,34,88,58,6,0,B,17,13,49,17,28,R
43472,43473,18-30,Female,Beginner,0,11,16,20,20,4,30,1,4,C,16,32,11,0,6,R
57913,57914,18-30,Female,Beginner,7,24,15,60,65,59,89,9,3,B,4,6,42,14,23,D
43479,43480,18-30,Female,Beginner,15,9,24,12,12,60,62,2,2,A,4,27,9,17,12,R
57905,57906,18-30,Female,Beginner,20,6,7,2,64,93,13,5,3,C,6,8,25,12,10,R
43500,43501,18-30,Female,Beginner,46,17,5,0,69,1,25,2,0,B,6,15,1,11,15,R
43503,43504,18-30,Female,Beginner,2,20,2,71,96,65,58,4,2,B,18,27,3,13,0,D
43510,43511,18-30,Female,Beginner,23,19,16,81,94,76,27,1,3,B,14,26,12,10,1,D
43524,43525,18-30,Female,Beginner,13,17,21,93,90,6,94,0,1,C,2,25,17,16,1,D
57862,57863,18-30,Female,Beginner,35,5,22,48,98,22,69,1,2,B,13,5,31,12,4,D
43394,43395,18-30,Female,Beginner,21,15,18,64,28,85,62,4,0,A,6,24,14,2,16,D
12882,12883,18-30,Female,Beginner,50,9,11,14,52,84,54,4,0,B,15,4,50,14,5,R
12856,12857,18-30,Female,Beginner,8,25,1,86,22,31,22,9,4,A,18,5,28,18,9,R
56681,56682,18-30,Female,Beginner,35,9,17,79,65,26,54,2,2,A,8,24,11,11,2,D
57196,57197,18-30,Female,Beginner,31,27,15,19,50,95,33,10,4,A,12,25,28,14,27,D
57210,57211,18-30,Female,Beginner,22,4,4,39,67,69,78,8,1,C,13,30,24,0,7,D
57935,57936,18-30,Female,Beginner,6,11,24,19,100,27,59,10,3,C,12,31,50,10,11,D
43447,43448,18-30,Female,Beginner,1,10,6,44,30,74,87,7,3,C,1,4,47,18,28,D
43444,43445,18-30,Female,Beginner,8,15,18,30,62,78,57,9,1,B,4,3,38,7,8,D
56650,56651,18-30,Female,Beginner,13,23,13,14,43,85,11,5,4,B,11,27,22,13,5,R
