,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
42040,42041,18-30,Male,Beginner,11,10,16,45,46,18,52,1,2,C,10,27,11,16,3,D
4262,4263,18-30,Male,Beginner,9,20,8,91,55,56,49,0,4,C,5,5,16,5,25,D
49561,49562,18-30,Male,Beginner,28,8,12,38,19,26,86,3,1,C,7,20,17,15,6,D
50253,50254,18-30,Male,Beginner,13,16,10,63,16,57,75,3,3,B,0,35,2,12,22,R
95251,95252,18-30,Male,Beginner,31,22,18,67,48,82,96,3,3,B,4,3,41,13,10,R
49415,49416,18-30,Male,Beginner,26,23,12,15,92,63,12,9,4,C,8,9,24,13,14,R
49416,49417,18-30,Male,Beginner,34,16,2,1,1,64,20,6,1,A,0,20,39,3,3,D
50233,50234,18-30,Male,Beginner,34,5,5,72,42,66,48,2,3,B,11,8,24,17,18,D
4492,4493,18-30,Male,Beginner,36,7,24,9,14,58,100,4,3,A,18,20,49,19,16,R
4488,4489,18-30,Male,Beginner,39,24,1,20,88,75,1,0,3,C,18,27,10,11,6,D
4467,4468,18-30,Male,Beginner,50,20,15,18,12,48,65,6,4,B,2,5,19,7,27,R
95540,95541,18-30,Male,Beginner,40,20,12,66,39,64,85,5,4,C,9,32,43,16,15,R
95343,95344,18-30,Male,Beginner,29,11,0,39,4,21,91,4,0,B,1,19,26,13,0,R
4444,4445,18-30,Male,Beginner,40,6,4,90,23,60,19,4,1,A,1,36,32,3,8,D
95448,95449,18-30,Male,Beginner,26,8,11,94,74,95,85,4,1,A,16,36,34,7,6,R
49569,49570,18-30,Male,Beginner,39,5,7,66,64,75,33,10,4,B,2,29,46,0,8,R
95462,95463,18-30,Male,Beginner,3,2,16,10,89,74,44,4,1,B,6,20,37,4,6,D
4478,4479,18-30,Male,Beginner,14,7,12,90,82,64,68,3,2,B,16,16,33,12,28,R
50790,50791,18-30,Male,Beginner,48,0,23,23,77,0,95,5,1,A,7,12,4,9,1,D
95466,95467,18-30,Male,Beginner,49,6,6,95,85,49,80,4,4,B,2,11,46,6,21,R
50767,50768,18-30,Male,Beginner,27,30,21,93,66,6,42,10,4,B,7,5,23,17,30,D
95470,95471,18-30,Male,Beginner,38,8,8,29,11,63,52,3,1,C,17,1,3,12,2,R
49676,49677,18-30,Male,Beginner,14,19,2,75,62,92,27,7,0,B,0,21,40,18,16,R
50730,50731,18-30,Male,Beginner,23,14,3,55,86,4,29,4,3,B,8,17,12,14,16,R
49690,49691,18-30,Male,Beginner,36,26,25,19,52,6,15,4,3,B,8,7,15,6,19,D
50699,50700,18-30,Male,Beginner,11,11,21,28,96,69,84,3,2,C,6,25,1,14,10,R
49549,49550,18-30,Male,Beginner,48,19,3,54,61,96,91,1,0,C,13,33,10,19,13,R
49696,49697,18-30,Male,Beginner,47,7,25,87,6,33,92,4,2,A,4,2,20,16,27,R
95160,95161,18-30,Male,Beginner,19,13,22,58,56,100,40,1,3,C,10,2,40,20,1,R
3956,3957,18-30,Male,Beginner,17,14,5,4,36,56,93,7,1,A,1,17,33,18,2,D
50090,50091,18-30,Male,Beginner,28,3,18,69,92,50,3,2,2,A,1,34,34,6,14,D
50386,50387,18-30,Male,Beginner,19,0,18,64,36,91,94,4,2,A,10,7,17,10,4,R
50387,50388,18-30,Male,Beginner,9,15,10,53,75,77,58,0,4,A,7,20,44,9,6,R
3875,3876,18-30,Male,Beginner,39,10,10,70,75,11,94,1,1,C,1,0,37,3,18,R
3873,3874,18-30,Male,Beginner,20,18,18,63,2,47,54,6,0,A,4,35,11,3,12,R
3870,3871,18-30,Male,Beginner,15,29,10,57,67,78,18,7,2,B,3,32,19,15,10,D
95799,95800,18-30,Male,Beginner,30,26,9,57,98,51,90,1,3,A,3,32,16,5,10,R
4055,4056,18-30,Male,Beginner,14,21,17,47,92,67,94,2,1,B,14,7,30,6,22,R
95268,95269,18-30,Male,Beginner,47,30,9,1,12,5,22,4,3,B,1,22,24,13,24,D
50406,50407,18-30,Male,Beginner,3,20,25,8,1,82,46,3,4,B,12,34,32,9,0,D
95289,95290,18-30,Male,Beginner,47,9,6,56,31,80,20,7,1,B,6,25,16,16,16,D
50400,50401,18-30,Male,Beginner,12,28,24,50,14,18,48,4,4,A,17,7,44,0,14,R
49970,49971,18-30,Male,Beginner,49,8,23,31,59,78,76,4,4,C,4,28,34,19,15,D
50489,50490,18-30,Male,Beginner,32,13,8,46,91,11,41,9,4,B,8,0,20,13,10,R
50179,50180,18-30,Male,Beginner,22,22,1,25,32,100,54,7,1,B,12,4,7,14,22,R
49984,49985,18-30,Male,Beginner,26,19,6,4,4,9,96,5,2,A,13,22,28,17,19,R
95306,95307,18-30,Male,Beginner,14,25,21,70,17,53,58,2,4,A,12,5,13,16,13,D
50012,50013,18-30,Male,Beginner,7,21,22,0,32,97,50,8,1,B,11,4,36,18,15,D
50158,50159,18-30,Male,Beginner,14,0,25,52,61,8,25,3,1,A,14,36,16,10,14,R
3977,3978,18-30,Male,Beginner,29,13,1,11,96,88,22,3,0,A,17,16,37,12,30,R
3972,3973,18-30,Male,Beginner,27,14,3,40,90,54,90,0,0,B,15,36,1,17,6,D
50136,50137,18-30,Male,Beginner,30,28,24,31,1,29,53,10,2,C,7,9,28,0,4,R
95322,95323,18-30,Male,Beginner,18,18,0,61,17,49,42,10,3,B,10,10,36,8,30,R
50131,50132,18-30,Male,Beginner,31,28,15,16,94,28,53,3,4,A,14,27,18,2,13,D
3957,3958,18-30,Male,Beginner,42,28,1,30,48,89,62,0,4,C,13,0,33,12,26,R
49525,49526,18-30,Male,Beginner,44,13,22,91,79,70,16,0,4,A,18,12,49,15,9,D
50906,50907,18-30,Male,Beginner,5,0,12,72,18,17,24,1,2,A,10,23,36,13,9,D
95538,95539,18-30,Male,Beginner,42,21,14,4,54,12,91,10,2,A,11,8,4,19,9,D
49601,49602,18-30,Male,Beginner,23,14,9,40,39,0,77,4,3,B,3,11,45,6,16,R
3397,3398,18-30,Male,Beginner,5,15,3,87,84,35,15,4,0,C,15,25,10,5,15,D
96428,96429,18-30,Male,Beginner,34,24,9,97,70,88,7,4,3,C,16,6,41,10,5,R
3292,3293,18-30,Male,Beginner,21,29,21,85,33,98,77,8,3,C,0,29,32,15,28,R
3153,3154,18-30,Male,Beginner,5,7,17,27,4,92,40,7,2,C,7,14,43,16,19,R
47757,47758,18-30,Male,Beginner,1,25,20,35,46,74,86,5,4,A,7,20,16,8,11,R
47720,47721,18-30,Male,Beginner,4,23,19,89,1,37,73,4,1,A,14,23,45,20,22,D
96699,96700,18-30,Male,Beginner,45,1,14,59,86,81,79,4,3,B,9,8,2,2,3,R
3170,3171,18-30,Male,Beginner,50,6,6,79,38,60,42,6,2,B,11,25,22,6,7,D
52934,52935,18-30,Male,Beginner,20,8,16,96,88,76,86,1,4,A,2,20,29,15,25,D
3243,3244,18-30,Male,Beginner,4,1,9,33,78,64,76,3,0,C,18,4,2,11,20,R
52916,52917,18-30,Male,Beginner,23,26,17,76,99,35,61,1,1,B,7,30,42,1,19,D
52913,52914,18-30,Male,Beginner,15,18,18,59,34,12,6,3,3,C,9,16,39,0,5,D
96776,96777,18-30,Male,Beginner,14,7,3,98,45,27,66,2,2,A,11,34,44,1,27,D
3193,3194,18-30,Male,Beginner,14,26,16,97,89,91,41,7,4,C,11,25,43,16,7,R
3189,3190,18-30,Male,Beginner,41,14,9,41,37,37,31,6,0,A,15,33,48,15,24,D
96691,96692,18-30,Male,Beginner,32,15,1,64,38,12,45,8,0,B,12,25,9,5,26,R
96593,96594,18-30,Male,Beginner,39,12,22,77,7,77,8,2,2,B,7,4,7,5,27,D
3464,3465,18-30,Male,Beginner,43,18,22,42,2,76,60,2,3,A,12,6,42,17,8,D
52841,52842,18-30,Male,Beginner,42,18,24,0,6,46,34,1,2,A,9,34,28,18,10,D
96643,96644,18-30,Male,Beginner,30,15,8,37,47,14,4,5,0,C,15,22,47,9,13,R
3747,3748,18-30,Male,Beginner,23,16,15,56,27,48,69,3,4,A,15,20,43,2,0,R
3724,3725,18-30,Male,Beginner,20,0,3,99,34,81,75,6,4,C,15,6,43,20,11,R
96679,96680,18-30,Male,Beginner,15,20,16,65,9,5,47,2,4,B,5,19,41,18,8,D
52581,52582,18-30,Male,Beginner,3,29,2,62,86,3,50,9,0,C,5,1,41,15,23,R
3694,3695,18-30,Male,Beginner,25,30,3,52,93,60,0,5,2,A,8,18,36,7,23,D
3411,3412,18-30,Male,Beginner,33,7,17,31,10,12,9,5,2,A,11,25,40,9,17,R
47829,47830,18-30,Male,Beginner,45,27,13,68,89,40,22,7,4,A,14,32,48,10,0,R
96379,96380,18-30,Male,Beginner,1,26,25,15,98,53,38,0,4,A,11,24,44,17,6,R
50623,50624,18-30,Male,Beginner,33,27,0,77,50,37,79,10,2,C,11,3,37,12,29,R
4304,4305,18-30,Male,Beginner,0,8,13,78,74,66,74,5,2,B,2,21,18,6,13,D
47578,47579,18-30,Male,Beginner,45,1,21,100,98,87,25,8,0,A,10,33,47,1,8,R
95396,95397,18-30,Male,Beginner,24,20,14,67,22,8,14,7,1,B,15,36,28,12,25,D
50575,50576,18-30,Male,Beginner,32,7,7,86,21,88,47,10,2,A,16,33,20,19,9,R
95923,95924,18-30,Male,Beginner,4,24,7,37,54,47,44,8,0,A,1,24,50,19,24,D
95930,95931,18-30,Male,Beginner,8,14,3,100,60,28,96,1,2,C,4,24,39,14,7,R
