,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
99992,99993,18-30,Female,Intermediate,2,23,17,27,23,79,7,10,4,A,9,2,28,1,0,R
19476,19477,18-30,Female,Intermediate,24,24,10,6,57,55,99,9,1,A,16,26,43,1,14,R
59655,59656,18-30,Female,Intermediate,17,20,21,6,11,58,49,7,0,A,13,14,45,9,12,D
59644,59645,18-30,Female,Intermediate,22,7,24,97,50,23,36,7,1,C,18,22,46,14,5,D
59622,59623,18-30,Female,Intermediate,14,8,18,50,36,95,7,8,0,A,17,34,36,1,17,R
59613,59614,18-30,Female,Intermediate,49,12,0,37,21,31,40,8,1,C,1,17,2,10,12,R
19514,19515,18-30,Female,Intermediate,45,14,2,20,12,8,73,8,4,A,6,22,1,1,16,R
59562,59563,18-30,Female,Intermediate,15,3,16,59,88,21,32,9,3,A,9,16,36,11,5,R
19544,19545,18-30,Female,Intermediate,29,21,14,52,93,65,37,5,2,B,18,25,41,1,4,D
19560,19561,18-30,Female,Intermediate,33,11,16,81,87,68,79,7,1,A,4,18,46,10,3,R
59486,59487,18-30,Female,Intermediate,10,12,14,29,1,7,29,0,1,C,16,8,46,10,4,R
59481,59482,18-30,Female,Intermediate,47,8,18,33,96,30,15,4,0,C,15,35,42,20,17,D
59468,59469,18-30,Female,Intermediate,6,12,25,11,28,12,98,8,2,B,1,19,6,9,22,R
19571,19572,18-30,Female,Intermediate,1,17,2,12,34,78,51,5,4,C,8,22,6,7,17,D
59663,59664,18-30,Female,Intermediate,31,25,7,82,52,3,5,1,0,B,7,15,33,0,18,R
59454,59455,18-30,Female,Intermediate,29,13,16,52,6,6,39,6,3,C,2,30,3,6,6,D
19615,19616,18-30,Female,Intermediate,27,29,6,6,67,3,72,6,2,A,6,32,37,12,20,R
59319,59320,18-30,Female,Intermediate,17,30,1,30,73,25,74,7,2,A,5,34,13,16,6,D
19640,19641,18-30,Female,Intermediate,7,7,6,50,30,42,31,7,4,A,18,13,20,8,14,R
59315,59316,18-30,Female,Intermediate,21,29,6,8,78,66,3,2,1,A,17,23,42,18,4,R
59266,59267,18-30,Female,Intermediate,19,19,1,76,65,33,83,4,1,C,8,5,10,14,8,D
19654,19655,18-30,Female,Intermediate,1,27,23,67,68,30,98,7,0,C,10,2,10,15,28,R
19668,19669,18-30,Female,Intermediate,41,16,20,51,71,57,3,8,4,C,10,32,23,4,17,R
59213,59214,18-30,Female,Intermediate,7,26,2,91,88,63,43,2,3,B,18,4,10,14,10,R
19671,19672,18-30,Female,Intermediate,49,24,4,31,10,47,62,6,3,A,8,24,28,0,27,D
59191,59192,18-30,Female,Intermediate,0,28,6,72,9,3,47,5,4,B,1,29,11,20,18,D
59145,59146,18-30,Female,Intermediate,40,10,6,83,8,6,53,0,4,C,9,5,25,18,23,R
19684,19685,18-30,Female,Intermediate,25,0,19,22,74,76,70,7,0,A,6,18,9,12,26,R
59112,59113,18-30,Female,Intermediate,28,19,11,24,6,34,16,9,0,A,3,0,47,9,12,R
59428,59429,18-30,Female,Intermediate,49,9,10,21,11,47,64,3,1,C,14,18,4,4,6,R
59673,59674,18-30,Female,Intermediate,21,16,24,5,88,22,73,2,1,B,17,15,23,10,30,D
19451,19452,18-30,Female,Intermediate,3,17,17,66,28,21,92,8,3,A,18,34,24,11,26,D
19443,19444,18-30,Female,Intermediate,13,17,0,93,60,51,3,5,1,B,9,22,0,8,9,R
19198,19199,18-30,Female,Intermediate,37,6,20,21,28,68,92,7,2,B,16,22,12,12,18,D
60313,60314,18-30,Female,Intermediate,15,6,7,53,71,63,26,4,2,A,11,1,4,14,5,R
60298,60299,18-30,Female,Intermediate,32,23,16,67,27,57,40,8,2,B,13,25,29,15,10,R
60206,60207,18-30,Female,Intermediate,26,8,2,100,37,60,86,7,0,B,6,30,50,4,4,D
60181,60182,18-30,Female,Intermediate,36,28,22,36,41,0,72,2,3,C,15,14,47,12,12,D
60175,60176,18-30,Female,Intermediate,9,19,24,66,27,47,77,6,0,A,18,18,47,17,18,R
19256,19257,18-30,Female,Intermediate,34,15,16,23,95,81,86,9,0,C,6,12,15,7,28,D
19265,19266,18-30,Female,Intermediate,33,13,23,37,91,17,100,10,1,A,10,9,13,19,24,D
60101,60102,18-30,Female,Intermediate,30,5,4,62,23,91,60,9,1,B,10,5,19,0,24,R
19288,19289,18-30,Female,Intermediate,12,30,7,69,4,55,26,10,2,C,12,0,45,16,0,R
60093,60094,18-30,Female,Intermediate,4,14,18,42,25,10,55,3,2,A,14,30,10,17,6,D
19292,19293,18-30,Female,Intermediate,19,22,8,88,38,29,43,5,4,A,14,36,3,9,20,D
60082,60083,18-30,Female,Intermediate,26,14,16,25,80,65,3,2,0,A,1,32,33,20,11,D
59980,59981,18-30,Female,Intermediate,26,22,24,93,98,10,5,6,0,B,17,34,28,15,20,R
59919,59920,18-30,Female,Intermediate,40,12,14,4,89,6,42,2,3,B,13,10,14,19,19,R
59904,59905,18-30,Female,Intermediate,27,29,12,3,82,10,60,6,4,A,7,6,14,2,27,R
59866,59867,18-30,Female,Intermediate,8,6,11,39,22,59,37,3,3,B,11,23,12,5,21,R
59849,59850,18-30,Female,Intermediate,0,8,20,43,0,35,38,5,2,C,9,18,25,10,18,D
59844,59845,18-30,Female,Intermediate,43,6,19,5,74,14,64,9,0,B,12,36,36,3,16,R
59820,59821,18-30,Female,Intermediate,26,23,16,61,29,74,97,1,1,B,15,10,3,14,21,D
59814,59815,18-30,Female,Intermediate,19,10,23,71,62,38,2,6,0,A,11,13,44,20,20,D
59778,59779,18-30,Female,Intermediate,32,30,7,72,18,32,61,4,2,B,7,7,26,9,0,R
59765,59766,18-30,Female,Intermediate,27,15,10,52,46,23,23,6,3,B,7,4,11,4,8,R
19371,19372,18-30,Female,Intermediate,26,12,9,45,30,34,43,2,4,B,1,16,25,5,13,R
59716,59717,18-30,Female,Intermediate,24,22,21,95,91,56,61,0,2,B,14,12,22,1,8,R
59710,59711,18-30,Female,Intermediate,47,5,3,1,24,90,53,4,4,A,10,21,23,13,6,R
59705,59706,18-30,Female,Intermediate,4,28,21,63,96,79,65,10,1,B,16,33,35,15,28,D
19436,19437,18-30,Female,Intermediate,8,9,10,81,29,79,48,2,0,C,15,11,25,17,7,D
19437,19438,18-30,Female,Intermediate,10,21,21,51,80,10,0,4,1,C,6,21,16,10,4,D
59084,59085,18-30,Female,Intermediate,38,15,17,74,95,41,54,1,3,A,9,23,50,16,10,R
19747,19748,18-30,Female,Intermediate,7,3,5,63,61,75,87,6,3,B,15,22,19,0,10,R
59036,59037,18-30,Female,Intermediate,19,4,13,16,13,71,70,7,2,C,8,27,31,12,28,R
59016,59017,18-30,Female,Intermediate,28,28,24,32,5,62,85,10,4,A,3,31,23,7,3,D
20058,20059,18-30,Female,Intermediate,3,23,2,8,15,38,91,7,2,C,10,16,3,5,9,D
58609,58610,18-30,Female,Intermediate,32,2,12,54,23,10,53,9,0,C,0,8,12,15,8,R
58569,58570,18-30,Female,Intermediate,19,21,23,14,64,66,39,7,2,C,14,29,2,7,1,D
20081,20082,18-30,Female,Intermediate,46,14,13,54,45,100,44,9,3,A,9,31,22,7,15,R
20113,20114,18-30,Female,Intermediate,16,8,6,93,2,94,94,0,3,C,11,27,26,13,13,R
20114,20115,18-30,Female,Intermediate,22,22,5,61,10,93,31,8,4,C,16,11,20,12,8,D
58542,58543,18-30,Female,Intermediate,33,6,19,51,89,25,69,7,1,B,9,8,26,10,4,R
20141,20142,18-30,Female,Intermediate,6,11,5,46,78,4,100,1,3,B,16,36,7,2,7,R
20154,20155,18-30,Female,Intermediate,48,14,5,41,47,98,66,5,4,B,8,13,20,7,9,R
20172,20173,18-30,Female,Intermediate,32,16,1,21,82,35,29,6,0,A,8,16,13,2,14,D
58510,58511,18-30,Female,Intermediate,42,25,4,22,39,72,44,3,2,B,14,33,48,17,14,D
58405,58406,18-30,Female,Intermediate,28,14,19,61,84,47,53,7,3,C,4,32,37,13,26,R
20205,20206,18-30,Female,Intermediate,22,14,20,58,74,98,2,10,1,B,13,26,24,17,17,D
20218,20219,18-30,Female,Intermediate,40,7,19,71,46,3,68,8,2,B,17,24,11,7,25,D
20229,20230,18-30,Female,Intermediate,47,0,24,76,3,56,11,4,1,A,2,25,45,1,21,D
58190,58191,18-30,Female,Intermediate,13,10,6,63,50,20,96,7,4,A,11,7,3,17,13,D
58178,58179,18-30,Female,Intermediate,7,7,21,23,27,47,80,5,2,B,2,21,39,17,17,D
20246,20247,18-30,Female,Intermediate,24,20,14,78,53,56,51,6,2,C,2,34,3,3,19,R
58126,58127,18-30,Female,Intermediate,3,30,8,11,73,46,100,1,4,C,7,2,26,14,22,D
58112,58113,18-30,Female,Intermediate,5,10,4,54,28,31,100,4,2,C,3,9,13,7,10,D
20269,20270,18-30,Female,Intermediate,42,28,24,45,49,43,5,3,4,A,2,35,13,0,25,D
