,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
99995,99996,18-30,Male,Intermediate,33,28,8,38,29,98,35,8,0,A,12,24,2,14,0,D
37934,37935,18-30,Male,Intermediate,44,7,21,35,100,33,21,2,0,B,1,15,46,15,17,R
37915,37916,18-30,Male,Intermediate,31,5,14,2,51,61,73,10,0,C,4,3,21,20,28,R
37908,37909,18-30,Male,Intermediate,18,20,9,28,67,100,81,9,4,A,17,4,14,19,2,R
37901,37902,18-30,Male,Intermediate,30,27,19,38,67,62,31,9,3,B,8,32,35,16,6,R
37821,37822,18-30,Male,Intermediate,30,14,20,0,40,44,84,2,4,B,11,9,49,1,4,D
37799,37800,18-30,Male,Intermediate,4,21,15,82,39,45,43,5,0,A,10,20,3,16,25,D
37786,37787,18-30,Male,Intermediate,19,4,14,86,9,32,2,1,4,B,15,32,32,10,5,R
37747,37748,18-30,Male,Intermediate,8,25,4,85,54,88,97,3,0,C,12,10,4,3,4,R
37739,37740,18-30,Male,Intermediate,0,1,0,36,98,96,95,4,0,C,8,35,38,17,8,D
91692,91693,18-30,Male,Intermediate,29,28,9,37,44,30,53,0,3,C,6,32,15,4,4,D
37688,37689,18-30,Male,Intermediate,13,8,9,98,84,43,38,10,1,B,14,18,42,15,3,D
37668,37669,18-30,Male,Intermediate,12,15,23,81,46,77,29,2,0,C,17,27,28,18,24,D
37642,37643,18-30,Male,Intermediate,14,19,13,44,35,24,40,6,0,A,9,5,26,10,0,D
37600,37601,18-30,Male,Intermediate,43,23,10,54,49,78,24,2,2,B,15,8,6,10,14,D
37575,37576,18-30,Male,Intermediate,26,21,6,70,58,40,74,9,2,C,14,33,18,19,15,R
91721,91722,18-30,Male,Intermediate,38,14,23,37,60,61,34,9,3,A,17,32,26,18,16,R
37541,37542,18-30,Male,Intermediate,15,6,4,85,90,13,33,0,3,A,17,10,4,2,23,D
91628,91629,18-30,Male,Intermediate,23,8,12,23,52,26,9,9,1,B,18,28,3,18,13,D
37519,37520,18-30,Male,Intermediate,37,9,10,49,52,80,46,3,1,B,4,14,13,13,15,R
91627,91628,18-30,Male,Intermediate,38,5,11,33,68,32,40,7,4,C,4,13,42,6,9,D
38062,38063,18-30,Male,Intermediate,32,15,2,41,27,21,92,0,2,C,2,34,28,15,17,R
91546,91547,18-30,Male,Intermediate,4,0,7,74,80,62,74,4,3,A,5,20,41,5,4,D
38469,38470,18-30,Male,Intermediate,20,13,3,96,73,34,21,4,3,B,11,35,28,11,25,R
38348,38349,18-30,Male,Intermediate,34,3,1,90,38,44,3,4,1,B,4,14,23,14,14,D
38312,38313,18-30,Male,Intermediate,40,4,14,16,29,97,10,5,1,B,12,28,22,8,22,R
38298,38299,18-30,Male,Intermediate,27,13,8,19,81,5,2,7,2,B,3,16,1,20,2,D
91616,91617,18-30,Male,Intermediate,23,11,20,76,32,8,16,9,2,C,14,32,32,11,15,D
38274,38275,18-30,Male,Intermediate,41,8,12,42,43,22,20,8,1,B,0,27,37,7,2,D
38272,38273,18-30,Male,Intermediate,47,29,8,32,93,45,13,0,0,A,11,35,9,9,6,R
38247,38248,18-30,Male,Intermediate,16,5,17,78,92,66,68,3,2,B,7,14,21,2,30,R
38238,38239,18-30,Male,Intermediate,45,3,5,56,99,77,86,7,2,A,8,8,43,20,15,R
38233,38234,18-30,Male,Intermediate,39,0,21,21,10,8,28,0,4,A,12,13,36,10,22,D
38222,38223,18-30,Male,Intermediate,18,22,8,26,41,66,34,3,4,C,16,32,24,1,20,R
38209,38210,18-30,Male,Intermediate,35,11,6,86,98,26,2,2,4,C,15,22,10,6,18,R
38199,38200,18-30,Male,Intermediate,37,30,25,10,47,48,3,1,0,C,8,18,2,18,29,D
38177,38178,18-30,Male,Intermediate,33,19,14,53,99,30,95,8,2,A,6,10,5,18,23,D
38130,38131,18-30,Male,Intermediate,46,26,19,80,15,16,43,5,3,C,2,7,42,13,3,R
38072,38073,18-30,Male,Intermediate,8,14,15,77,28,25,82,0,2,C,2,33,11,8,11,D
38053,38054,18-30,Male,Intermediate,4,0,23,54,13,89,83,9,4,A,15,1,49,8,14,D
91540,91541,18-30,Male,Intermediate,38,16,4,81,22,48,53,3,0,C,13,6,42,10,1,D
37517,37518,18-30,Male,Intermediate,11,23,22,18,91,81,19,2,2,B,2,7,26,15,21,R
37480,37481,18-30,Male,Intermediate,28,21,6,90,39,20,97,1,3,B,14,23,24,12,1,D
36774,36775,18-30,Male,Intermediate,46,25,2,30,6,43,35,1,2,A,14,7,45,9,11,D
36770,36771,18-30,Male,Intermediate,23,4,13,96,21,90,61,4,3,B,5,5,33,6,10,R
36764,36765,18-30,Male,Intermediate,29,16,25,14,20,16,11,1,3,B,1,4,15,13,25,R
91848,91849,18-30,Male,Intermediate,2,11,20,16,83,95,98,0,4,C,11,11,48,18,22,D
36748,36749,18-30,Male,Intermediate,21,2,8,50,34,72,51,9,4,B,14,19,4,6,22,R
36685,36686,18-30,Male,Intermediate,19,4,21,93,9,96,69,5,4,A,0,21,16,16,0,D
36664,36665,18-30,Male,Intermediate,48,21,14,74,81,22,87,3,2,B,17,0,22,11,14,D
36659,36660,18-30,Male,Intermediate,22,24,1,80,94,36,30,3,4,B,1,20,43,11,8,R
91886,91887,18-30,Male,Intermediate,48,27,5,7,71,46,44,9,1,C,15,23,12,9,10,R
36637,36638,18-30,Male,Intermediate,49,29,11,67,45,23,1,9,0,B,4,35,31,6,12,R
36590,36591,18-30,Male,Intermediate,26,23,6,24,12,7,5,7,3,A,6,25,9,0,8,R
36511,36512,18-30,Male,Intermediate,47,19,6,13,80,33,36,3,4,A,10,28,16,17,25,D
36505,36506,18-30,Male,Intermediate,18,13,16,100,57,93,40,4,1,C,14,10,8,9,26,R
91925,91926,18-30,Male,Intermediate,22,26,12,56,23,6,29,8,1,C,1,18,6,10,5,D
36480,36481,18-30,Male,Intermediate,25,18,7,3,71,57,93,0,3,B,0,27,11,18,20,D
36445,36446,18-30,Male,Intermediate,24,2,5,10,94,11,71,7,2,C,18,7,7,17,28,R
