,Unnamed: 0,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
2,26227,26228,18-30,Male,Advanced,18,22,16,90,7,28,93,2,0,C,0,2,1,18,19,R
4,74148,74149,18-30,Male,Advanced,11,2,6,65,3,44,73,6,2,B,15,13,19,6,13,D
8,26186,26187,18-30,Male,Advanced,11,28,5,68,6,26,77,1,2,A,1,11,6,15,22,R
23,73881,73882,18-30,Male,Advanced,14,28,4,65,88,99,37,1,2,B,9,9,12,18,4,R
25,26302,26303,18-30,Male,Advanced,4,6,11,82,94,31,99,4,2,A,7,35,22,10,4,D
30,26455,26456,18-30,Male,Advanced,17,30,7,70,13,95,73,4,3,C,3,21,4,0,21,R
32,26375,26376,18-30,Male,Advanced,16,21,16,46,65,44,37,2,0,B,12,12,21,14,15,D
33,26535,26536,18-30,Male,Advanced,19,12,3,73,36,78,97,3,0,C,7,16,18,9,0,R
49,25679,25680,18-30,Male,Advanced,14,27,1,13,38,46,30,10,4,C,8,4,17,6,15,D
51,25750,25751,18-30,Male,Advanced,12,14,7,49,33,30,2,0,3,B,5,13,22,11,9,D
52,74677,74678,18-30,Male,Advanced,0,1,1,87,58,43,52,9,3,C,4,14,4,4,24,R
54,74665,74666,18-30,Male,Advanced,12,13,13,77,68,40,26,3,1,A,2,20,14,15,18,R
68,25885,25886,18-30,Male,Advanced,6,10,15,94,57,47,65,10,3,B,8,5,21,11,17,R
69,74622,74623,18-30,Male,Advanced,11,5,4,70,33,62,60,7,1,B,2,24,9,15,10,D
84,27366,27367,18-30,Male,Advanced,19,12,1,0,30,71,34,6,2,B,6,21,1,19,16,D
85,27337,27338,18-30,Male,Advanced,3,19,16,80,11,50,83,8,0,C,6,29,0,17,25,D
87,27321,27322,18-30,Male,Advanced,7,12,18,7,18,12,26,5,2,B,16,14,11,6,22,R
91,27602,27603,18-30,Male,Advanced,15,24,4,24,19,99,86,6,1,C,5,35,6,6,22,R
101,27685,27686,18-30,Male,Advanced,13,3,19,87,60,3,75,2,0,B,8,21,10,17,0,D
110,73219,73220,18-30,Male,Advanced,0,1,7,81,58,99,58,8,3,C,5,27,16,17,8,R
120,73728,73729,18-30,Male,Advanced,1,23,18,16,83,36,55,9,4,A,1,1,15,6,5,D
122,73741,73742,18-30,Male,Advanced,8,17,17,21,58,94,13,7,3,B,17,25,17,19,12,R
129,73225,73226,18-30,Male,Advanced,12,5,6,99,6,1,26,10,3,A,9,27,23,2,2,D
134,27083,27084,18-30,Male,Advanced,17,8,17,45,64,17,28,5,2,A,9,8,8,15,24,R
139,26966,26967,18-30,Male,Advanced,17,10,9,36,15,79,89,5,2,A,0,11,1,17,17,D
142,73486,73487,18-30,Male,Advanced,4,0,9,65,68,96,18,3,3,A,16,2,10,17,15,R
148,24305,24306,18-30,Male,Advanced,15,7,17,81,49,16,93,6,1,A,8,23,4,19,21,D
149,76333,76334,18-30,Male,Advanced,18,27,14,69,46,17,61,10,2,B,11,5,14,18,25,D
150,24293,24294,18-30,Male,Advanced,12,20,20,11,61,94,88,2,0,C,16,4,23,13,15,R
163,24138,24139,18-30,Male,Advanced,7,14,18,32,78,25,50,0,1,C,6,35,9,8,9,D
166,24650,24651,18-30,Male,Advanced,13,3,3,91,19,4,36,1,2,C,11,8,4,19,18,R
168,24594,24595,18-30,Male,Advanced,12,26,6,8,25,76,51,5,1,B,9,15,6,3,25,R
174,24517,24518,18-30,Male,Advanced,20,5,19,83,80,10,67,0,2,C,2,18,15,15,12,D
177,24483,24484,18-30,Male,Advanced,9,15,0,75,17,26,21,5,3,C,11,3,18,11,4,R
179,24433,24434,18-30,Male,Advanced,8,10,13,62,94,69,95,2,2,B,9,2,11,16,15,D
180,76112,76113,18-30,Male,Advanced,16,11,0,90,77,4,8,1,3,B,10,18,24,15,19,R
193,77057,77058,18-30,Male,Advanced,17,4,1,71,69,15,5,0,4,B,2,5,20,1,22,R
197,23523,23524,18-30,Male,Advanced,4,15,4,84,18,41,7,10,4,C,11,1,8,6,9,D
199,23780,23781,18-30,Male,Advanced,8,16,5,18,62,70,11,7,1,A,12,10,10,19,27,D
201,23805,23806,18-30,Male,Advanced,15,0,17,6,90,47,44,4,2,A,6,35,19,8,18,D
202,76620,76621,18-30,Male,Advanced,8,14,10,4,28,54,12,5,3,B,6,31,10,14,23,D
203,76647,76648,18-30,Male,Advanced,3,11,8,42,59,43,97,2,3,A,9,29,3,1,23,R
205,23988,23989,18-30,Male,Advanced,10,25,9,85,93,90,80,2,2,C,11,14,23,17,1,R
206,23956,23957,18-30,Male,Advanced,17,15,15,6,17,54,7,0,1,C,10,19,11,17,18,D
209,23875,23876,18-30,Male,Advanced,16,23,8,0,72,9,40,6,4,B,17,25,15,11,3,R
211,23870,23871,18-30,Male,Advanced,0,2,14,66,28,40,53,4,4,C,13,29,2,4,4,R
214,23857,23858,18-30,Male,Advanced,11,3,10,22,42,77,62,1,0,A,0,12,24,1,21,R
215,23847,23848,18-30,Male,Advanced,19,11,15,17,61,85,76,6,0,B,18,12,13,19,25,D
227,25369,25370,18-30,Male,Advanced,5,30,17,52,70,23,98,0,0,B,4,26,1,8,20,D
232,25164,25165,18-30,Male,Advanced,1,21,18,70,29,59,68,3,2,B,5,34,18,13,30,D
242,25552,25553,18-30,Male,Advanced,1,2,2,53,2,43,52,1,2,B,3,25,3,4,25,D
243,75175,75176,18-30,Male,Advanced,13,8,1,97,90,56,54,0,3,B,10,27,20,15,28,R
251,25404,25405,18-30,Male,Advanced,6,24,19,88,29,14,25,1,2,B,6,31,19,3,28,D
266,24749,24750,18-30,Male,Advanced,19,10,1,43,8,91,50,2,3,A,17,1,20,12,28,D
267,75914,75915,18-30,Male,Advanced,18,20,18,79,7,14,61,4,0,B,15,2,9,10,3,R
269,75951,75952,18-30,Male,Advanced,18,12,17,20,72,32,12,2,4,C,16,24,6,3,2,R
279,75591,75592,18-30,Male,Advanced,1,20,19,8,57,6,38,7,2,B,14,23,22,14,7,D
293,72608,72609,18-30,Male,Advanced,1,14,0,26,82,100,35,8,0,A,13,33,20,16,21,D
294,27863,27864,18-30,Male,Advanced,3,29,18,100,77,83,13,3,0,C,2,2,21,20,4,R
297,69466,69467,18-30,Male,Advanced,19,27,5,49,12,0,92,4,4,A,16,6,4,17,7,R
299,30960,30961,18-30,Male,Advanced,8,7,13,65,53,57,32,10,0,C,15,4,15,16,12,D
300,30959,30960,18-30,Male,Advanced,13,9,5,55,45,81,43,1,0,C,0,18,1,11,18,D
305,30902,30903,18-30,Male,Advanced,14,4,5,91,79,95,73,6,0,B,16,36,22,3,19,R
317,69274,69275,18-30,Male,Advanced,14,6,20,91,80,10,19,9,0,C,14,1,10,14,7,R
320,69301,69302,18-30,Male,Advanced,9,6,20,98,22,36,81,7,4,B,16,17,11,14,26,D
328,69636,69637,18-30,Male,Advanced,11,8,3,48,76,96,6,2,2,A,10,17,10,17,10,D
329,69741,69742,18-30,Male,Advanced,3,14,11,76,16,46,25,3,2,B,16,19,17,3,2,R
331,70067,70068,18-30,Male,Advanced,4,22,17,16,25,32,54,3,2,C,10,1,24,15,27,R
358,30598,30599,18-30,Male,Advanced,12,13,16,94,37,43,77,2,0,C,11,12,21,12,28,R
360,69972,69973,18-30,Male,Advanced,20,22,0,39,83,27,23,10,0,C,12,10,15,14,6,R
363,30566,30567,18-30,Male,Advanced,7,16,4,41,85,86,43,5,2,B,13,20,2,2,4,R
364,31238,31239,18-30,Male,Advanced,15,0,20,21,79,28,38,9,3,A,5,9,5,16,13,R
382,31945,31946,18-30,Male,Advanced,5,25,20,76,57,17,42,8,0,B,17,29,6,1,28,D
389,68195,68196,18-30,Male,Advanced,3,7,19,90,58,16,51,3,1,A,3,30,11,17,7,R
403,31814,31815,18-30,Male,Advanced,2,7,0,40,38,38,5,0,2,C,18,20,0,6,3,D
425,31681,31682,18-30,Male,Advanced,2,27,12,38,48,74,28,8,4,B,6,8,6,1,17,D
428,31641,31642,18-30,Male,Advanced,7,19,4,41,94,94,82,4,2,C,0,2,16,9,15,R
430,31619,31620,18-30,Male,Advanced,0,2,10,45,69,75,3,1,3,C,6,18,12,9,12,D
436,68949,68950,18-30,Male,Advanced,0,0,5,99,13,33,69,5,2,C,18,17,2,11,9,D
437,31529,31530,18-30,Male,Advanced,5,16,9,37,5,2,55,2,0,C,3,17,21,14,6,R
442,71913,71914,18-30,Male,Advanced,0,6,0,100,91,96,27,1,3,B,17,27,14,18,28,R
443,71956,71957,18-30,Male,Advanced,5,1,1,33,88,35,61,4,3,B,2,9,15,12,2,R
445,71997,71998,18-30,Male,Advanced,10,25,11,22,52,67,41,1,2,A,12,3,16,19,24,D
449,28522,28523,18-30,Male,Advanced,3,9,8,60,46,73,47,0,2,B,16,6,14,10,15,R
471,71732,71733,18-30,Male,Advanced,20,20,7,76,75,21,32,4,3,C,6,12,14,13,27,R
476,28919,28920,18-30,Male,Advanced,16,24,6,23,97,59,42,5,4,C,7,35,16,3,23,R
490,27891,27892,18-30,Male,Advanced,8,26,12,38,79,6,35,5,0,B,3,1,6,8,7,D
493,72542,72543,18-30,Male,Advanced,6,12,3,19,10,20,22,0,1,C,17,2,20,6,21,D
505,28236,28237,18-30,Male,Advanced,10,3,1,22,98,12,25,5,2,A,12,18,8,19,19,R
508,72380,72381,18-30,Male,Advanced,8,9,0,96,8,83,24,10,1,C,2,14,6,9,27,R
509,72393,72394,18-30,Male,Advanced,14,26,0,68,54,92,73,7,1,B,6,1,6,15,20,R
523,70635,70636,18-30,Male,Advanced,15,23,6,17,44,70,79,7,4,A,7,33,13,19,27,D
525,70649,70650,18-30,Male,Advanced,18,26,16,52,18,67,29,6,2,C,17,6,2,7,4,D
532,70521,70522,18-30,Male,Advanced,3,21,12,69,5,25,38,6,1,B,10,14,20,6,28,R
543,30017,30018,18-30,Male,Advanced,16,20,20,84,17,62,11,3,3,A,1,34,21,19,6,R
549,70763,70764,18-30,Male,Advanced,15,18,13,76,80,54,61,2,3,C,4,14,19,15,30,R
551,70776,70777,18-30,Male,Advanced,6,7,5,27,73,6,16,10,2,C,15,12,18,16,13,D
553,29245,29246,18-30,Male,Advanced,7,29,5,11,14,78,1,1,0,A,0,36,9,11,22,R
574,70916,70917,18-30,Male,Advanced,7,22,15,88,73,81,69,10,4,C,0,12,17,2,14,R
580,71045,71046,18-30,Male,Advanced,14,24,9,86,31,36,76,4,2,B,6,29,15,1,29,D
582,29394,29395,18-30,Male,Advanced,12,12,16,7,49,71,29,6,3,B,17,8,21,11,9,R
599,17395,17396,18-30,Male,Advanced,9,29,0,74,12,35,14,4,2,C,5,34,10,7,29,D
606,17495,17496,18-30,Male,Advanced,5,20,15,8,95,3,11,10,1,C,15,6,2,11,29,D
609,17626,17627,18-30,Male,Advanced,11,2,6,14,65,66,100,1,1,B,2,21,1,7,27,D
614,83050,83051,18-30,Male,Advanced,15,14,6,75,51,45,89,10,2,B,5,16,4,8,12,D
616,17547,17548,18-30,Male,Advanced,17,7,7,15,98,99,96,0,3,A,2,4,22,10,26,D
623,83151,83152,18-30,Male,Advanced,1,7,15,71,71,65,85,10,3,A,0,23,20,11,27,R
644,83180,83181,18-30,Male,Advanced,0,28,19,55,87,29,91,9,3,B,4,28,20,17,25,D
645,17200,17201,18-30,Male,Advanced,15,22,4,76,45,10,78,10,0,A,0,4,23,4,5,D
646,83217,83218,18-30,Male,Advanced,4,20,11,77,4,54,97,8,0,B,1,13,21,17,9,D
648,17172,17173,18-30,Male,Advanced,8,8,9,48,40,39,69,6,2,C,11,19,17,1,4,R
653,83281,83282,18-30,Male,Advanced,6,1,20,52,48,2,68,9,4,A,5,28,2,9,17,D
663,82001,82002,18-30,Male,Advanced,20,20,20,83,84,55,29,2,3,A,12,17,9,7,5,D
668,82039,82040,18-30,Male,Advanced,6,20,15,15,54,79,99,6,4,C,10,10,7,15,24,R
669,81900,81901,18-30,Male,Advanced,10,3,7,95,11,10,72,8,3,C,17,7,10,17,30,R
687,81611,81612,18-30,Male,Advanced,11,23,5,57,44,61,82,2,2,A,18,35,18,5,16,D
697,16788,16789,18-30,Male,Advanced,6,6,1,38,89,73,79,10,0,A,12,28,24,8,4,R
702,17950,17951,18-30,Male,Advanced,12,25,15,95,57,15,31,7,1,A,15,10,5,0,5,R
704,17872,17873,18-30,Male,Advanced,17,11,9,54,2,67,21,1,4,C,3,13,13,3,11,R
725,18270,18271,18-30,Male,Advanced,0,19,5,60,58,1,18,0,3,C,9,7,12,7,11,R
727,18182,18183,18-30,Male,Advanced,20,11,15,49,0,61,45,6,4,A,17,21,22,3,7,R
731,18058,18059,18-30,Male,Advanced,11,3,0,33,8,4,32,2,4,A,0,26,2,6,25,D
739,15281,15282,18-30,Male,Advanced,4,24,12,75,14,98,72,1,0,C,11,16,4,4,10,R
742,85310,85311,18-30,Male,Advanced,4,6,2,85,72,49,69,10,4,C,12,12,23,0,24,R
743,15333,15334,18-30,Male,Advanced,5,28,8,80,69,35,26,3,1,A,13,1,18,4,3,D
745,15238,15239,18-30,Male,Advanced,9,13,14,17,11,56,33,7,3,C,3,29,22,2,8,R
747,85356,85357,18-30,Male,Advanced,9,15,18,35,70,22,62,9,0,A,5,18,9,4,28,D
749,85400,85401,18-30,Male,Advanced,11,7,12,44,92,43,73,6,4,A,2,12,10,7,1,D
751,85327,85328,18-30,Male,Advanced,8,12,13,100,78,54,68,5,1,B,13,7,19,13,15,R
753,15372,15373,18-30,Male,Advanced,12,13,13,96,62,38,29,1,2,B,8,23,17,13,15,D
759,84951,84952,18-30,Male,Advanced,7,4,13,11,35,97,78,9,1,A,18,9,16,11,8,R
760,85008,85009,18-30,Male,Advanced,20,10,11,100,20,71,46,4,4,B,9,5,17,3,12,D
769,15411,15412,18-30,Male,Advanced,5,13,19,55,57,100,47,6,2,B,13,21,12,13,9,D
770,15195,15196,18-30,Male,Advanced,9,27,12,50,49,8,95,1,3,B,0,3,21,4,10,D
772,15128,15129,18-30,Male,Advanced,4,16,2,38,31,2,2,0,4,B,5,34,19,1,9,D
777,14791,14792,18-30,Male,Advanced,20,19,14,46,55,97,17,2,1,B,18,34,13,8,11,D
795,15073,15074,18-30,Male,Advanced,7,28,15,60,20,43,71,7,3,B,0,19,15,19,12,D
807,85455,85456,18-30,Male,Advanced,1,29,20,67,0,73,1,1,2,B,5,16,2,1,4,R
812,83931,83932,18-30,Male,Advanced,14,2,18,32,74,89,89,2,3,C,18,16,17,19,4,R
814,16512,16513,18-30,Male,Advanced,3,30,19,89,87,8,16,8,0,C,3,0,21,12,7,R
821,16306,16307,18-30,Male,Advanced,4,20,0,92,37,93,36,3,0,B,6,36,9,20,15,R
827,16604,16605,18-30,Male,Advanced,13,6,0,40,16,12,93,7,4,C,5,11,23,1,22,D
840,83785,83786,18-30,Male,Advanced,19,22,5,42,10,58,86,7,0,A,12,36,14,6,9,D
842,83787,83788,18-30,Male,Advanced,4,5,1,76,94,77,66,10,4,B,14,9,20,18,14,D
845,15604,15605,18-30,Male,Advanced,14,17,19,0,22,87,16,0,3,C,0,20,17,17,30,R
856,84673,84674,18-30,Male,Advanced,10,1,14,92,47,81,27,6,3,A,3,19,0,4,1,D
861,84731,84732,18-30,Male,Advanced,3,9,3,90,92,78,59,4,2,C,11,26,19,9,26,D
863,15842,15843,18-30,Male,Advanced,10,5,16,73,38,66,71,6,2,C,18,9,1,19,15,R
868,84267,84268,18-30,Male,Advanced,15,12,13,100,25,90,50,8,0,B,13,35,9,20,3,D
882,68161,68162,18-30,Male,Advanced,11,8,17,85,33,32,37,1,1,A,2,36,16,9,25,D
883,81462,81463,18-30,Male,Advanced,13,19,1,90,12,88,83,9,3,B,16,31,15,12,11,D
887,78490,78491,18-30,Male,Advanced,15,19,11,82,23,52,84,6,2,B,16,22,11,6,26,D
892,78535,78536,18-30,Male,Advanced,6,8,6,76,51,80,19,6,1,C,1,32,11,1,17,R
894,78568,78569,18-30,Male,Advanced,16,17,12,32,79,41,32,8,1,C,15,9,6,15,12,R
896,21910,21911,18-30,Male,Advanced,1,17,2,33,67,86,73,10,4,A,0,19,1,8,23,R
900,78653,78654,18-30,Male,Advanced,1,5,20,3,37,57,24,8,0,A,6,20,1,10,27,R
903,22352,22353,18-30,Male,Advanced,0,21,8,19,67,69,62,9,0,A,1,21,23,10,14,D
907,22298,22299,18-30,Male,Advanced,2,24,13,14,63,16,17,0,0,A,4,2,21,18,26,R
908,22278,22279,18-30,Male,Advanced,20,15,6,65,8,76,72,5,4,C,16,24,9,3,8,R
913,78290,78291,18-30,Male,Advanced,20,3,5,98,18,63,27,9,4,B,1,31,4,3,10,D
925,21421,21422,18-30,Male,Advanced,11,7,12,6,16,81,21,1,1,A,2,5,5,7,25,D
928,79049,79050,18-30,Male,Advanced,16,25,6,18,65,91,49,7,4,A,12,35,1,18,8,D
943,78802,78803,18-30,Male,Advanced,1,13,19,36,51,73,29,8,0,C,3,29,23,1,2,D
945,21651,21652,18-30,Male,Advanced,1,29,14,18,7,36,66,4,0,B,5,22,6,12,9,D
