Player ID,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente,Partido,Edad,Género_x
1,48,16,13,0,79,20,86,7,2,C,13,32,18,19,6,D,1,<18,Masculino
2,29,25,4,88,71,71,92,8,4,B,6,35,47,20,19,R,1,<18,Masculino
3,44,28,10,65,55,20,4,9,0,B,14,32,21,9,23,D,1,<18,Masculino
4,5,25,15,29,88,10,41,1,4,C,15,30,48,8,23,R,1,<18,Masculino
5,16,17,1,2,49,37,6,8,3,A,18,20,14,4,22,D,1,<18,Masculino
6,44,21,7,20,11,71,41,7,2,C,5,26,0,7,25,R,1,<18,Masculino
7,50,5,10,88,88,87,35,6,2,B,0,26,1,10,24,D,1,<18,Masculino
8,18,16,17,83,80,34,26,2,3,A,11,7,7,0,3,R,1,<18,Masculino
9,41,22,2,48,59,13,57,1,0,C,17,36,21,20,6,D,1,<18,Masculino
10,34,23,25,85,25,13,45,6,3,A,15,31,24,9,9,D,1,<18,Masculino
11,45,17,0,84,77,9,65,4,0,A,11,25,1,0,25,R,1,<18,Masculino
12,25,7,10,61,40,11,24,5,1,B,12,1,50,6,14,D,1,<18,Masculino
13,50,8,15,96,35,37,72,3,2,A,7,11,8,13,11,D,1,<18,Masculino
14,4,5,17,37,22,33,26,1,0,C,0,21,8,4,0,D,1,<18,Masculino
15,28,4,15,14,42,40,0,8,4,A,6,16,12,16,19,D,1,<18,Masculino
16,36,11,22,51,5,9,86,2,4,A,14,6,5,20,17,R,1,<18,Masculino
17,19,24,9,78,68,16,73,6,2,C,12,3,29,5,24,R,1,<18,Masculino
18,48,28,17,45,42,16,41,7,3,B,12,36,14,15,15,D,1,<18,Masculino
19,20,27,5,24,24,66,51,1,3,B,8,31,50,10,4,R,1,<18,Masculino
20,9,10,18,20,17,61,24,5,0,C,14,10,14,9,18,R,1,<18,Masculino
21,4,24,3,87,61,94,53,10,3,C,3,0,49,14,3,R,1,<18,Masculino
22,35,0,12,4,12,0,66,7,2,B,12,24,6,6,5,R,1,<18,Masculino
23,5,10,23,69,42,11,5,6,0,A,11,23,10,1,25,R,1,<18,Masculino
24,25,18,13,46,77,3,57,10,1,C,4,16,39,11,16,D,1,<18,Masculino
25,3,8,2,86,27,41,69,2,3,A,6,7,37,18,6,R,1,<18,Masculino
26,38,26,9,67,17,12,52,0,3,C,7,26,39,11,23,D,1,<18,Masculino
27,38,1,5,90,58,97,65,5,0,B,4,17,1,15,22,R,1,<18,Masculino
28,49,11,0,17,59,84,57,7,4,A,8,26,50,5,6,D,1,<18,Masculino
29,34,3,22,20,62,85,81,5,3,A,13,21,47,2,8,D,1,<18,Masculino
30,0,3,23,91,56,3,86,4,2,C,11,15,38,1,12,D,1,<18,Masculino
31,23,17,13,98,91,81,1,10,3,A,3,1,9,19,19,R,1,<18,Masculino
32,35,14,7,85,50,68,75,7,1,C,7,4,43,4,13,R,1,<18,Masculino
33,5,18,18,22,55,18,21,1,3,B,16,17,16,10,15,D,1,<18,Masculino
34,40,12,13,63,26,1,36,0,4,A,7,2,6,2,22,D,1,<18,Masculino
35,45,18,9,66,31,11,19,0,3,C,0,26,39,2,8,R,1,<18,Masculino
36,43,16,16,39,8,80,23,3,0,A,1,16,38,4,14,R,1,<18,Masculino
37,30,5,8,9,95,73,83,5,3,C,3,15,3,10,4,D,1,<18,Masculino
38,19,15,5,88,83,97,64,8,4,C,0,5,34,2,17,R,1,<18,Masculino
39,23,23,10,51,91,5,64,0,0,C,6,6,50,12,30,R,1,<18,Masculino
40,24,11,24,71,96,7,80,0,2,B,0,13,46,20,20,R,1,<18,Masculino
41,35,18,6,74,67,50,0,4,0,A,8,14,35,7,19,R,1,<18,Masculino
42,20,4,16,60,45,10,93,9,1,B,2,32,30,19,7,R,1,<18,Masculino
43,29,16,0,63,97,62,2,4,0,C,11,26,24,9,14,R,1,<18,Masculino
44,23,25,21,4,66,56,45,4,2,C,18,28,40,1,20,D,1,<18,Masculino
45,43,22,4,52,25,11,54,9,3,B,14,36,12,3,24,D,1,<18,Masculino
46,41,25,8,54,7,72,74,5,0,B,15,4,17,17,8,D,1,<18,Masculino
47,29,28,17,36,5,1,87,7,0,A,9,28,20,18,18,D,1,<18,Masculino
48,21,0,23,55,79,7,85,2,0,C,5,31,47,3,28,D,1,<18,Masculino
49,27,27,20,58,23,10,63,8,0,B,16,5,0,19,25,D,1,<18,Masculino
50,6,26,1,92,47,52,44,0,2,C,16,1,35,8,30,R,1,<18,Masculino
51,34,24,25,68,93,99,25,3,4,C,18,5,49,15,21,R,1,<18,Masculino
52,27,23,10,72,44,9,76,8,4,A,17,3,7,5,5,D,1,<18,Masculino
53,13,22,5,58,12,84,64,7,0,A,10,28,47,3,3,D,1,<18,Masculino
54,9,9,25,1,68,83,23,9,2,A,6,24,20,8,10,D,1,<18,Masculino
55,15,14,7,64,24,7,73,8,2,B,9,8,42,12,28,R,1,<18,Masculino
56,15,22,3,59,19,35,34,0,0,C,6,2,20,8,9,R,1,<18,Masculino
57,30,20,17,50,81,92,23,8,1,B,4,25,26,5,2,R,1,<18,Masculino
58,41,20,10,29,81,75,27,2,0,B,11,26,18,20,0,R,1,<18,Masculino
59,24,10,4,10,65,13,99,10,1,A,15,35,22,18,11,D,1,<18,Masculino
60,12,12,14,91,73,53,79,9,0,C,17,31,50,13,22,D,1,<18,Masculino
61,5,4,17,75,44,84,15,8,1,C,2,0,49,20,14,D,1,<18,Masculino
62,43,0,1,38,46,85,58,0,1,A,14,15,50,14,14,D,1,<18,Masculino
63,8,23,21,89,62,20,80,0,0,C,4,10,42,2,20,R,1,<18,Masculino
64,44,11,10,76,75,49,53,8,1,A,12,25,34,4,13,R,1,<18,Masculino
65,35,10,25,71,76,93,78,10,3,B,18,0,39,20,25,D,1,<18,Masculino
66,42,16,24,62,54,38,15,5,4,B,11,25,50,17,30,R,1,<18,Masculino
67,19,3,12,63,74,19,14,3,2,A,4,27,41,13,6,R,1,<18,Masculino
68,17,14,3,60,18,87,97,6,1,B,5,8,47,15,16,R,1,<18,Masculino
69,42,24,21,53,34,86,10,4,1,B,6,21,4,13,23,R,1,<18,Masculino
70,20,29,6,91,52,6,64,9,2,A,9,7,40,8,18,D,1,<18,Masculino
71,3,8,10,93,25,8,78,6,1,B,15,26,7,14,6,R,1,<18,Masculino
72,49,20,21,72,13,0,89,7,2,C,7,18,10,6,27,D,1,<18,Masculino
73,32,19,23,94,44,25,67,7,0,B,8,24,15,13,2,R,1,<18,Masculino
74,26,18,3,57,43,37,42,0,3,A,3,20,38,5,29,R,1,<18,Masculino
75,6,18,14,84,87,37,68,7,3,C,7,23,46,20,2,D,1,<18,Masculino
76,5,11,0,55,64,60,98,5,4,C,6,23,23,14,25,D,1,<18,Masculino
77,14,4,22,33,50,43,12,3,1,B,14,18,20,19,24,R,1,<18,Masculino
78,17,9,2,30,42,85,9,7,4,C,2,1,22,7,28,R,1,<18,Masculino
79,31,16,13,51,85,43,74,2,0,A,16,13,48,1,17,D,1,<18,Masculino
80,10,4,5,88,22,73,81,3,3,C,10,31,37,7,29,R,1,<18,Masculino
81,19,21,17,75,55,61,97,5,0,B,8,31,46,0,19,R,1,<18,Masculino
82,23,15,24,0,18,5,40,10,0,B,4,27,7,16,21,D,1,<18,Masculino
83,14,6,0,54,81,16,49,6,1,C,9,12,6,18,13,R,1,<18,Masculino
84,47,27,5,21,75,50,86,3,0,A,14,11,1,4,2,R,1,<18,Masculino
85,6,8,5,39,54,37,70,3,3,A,13,7,29,19,27,R,1,<18,Masculino
86,20,2,20,100,91,23,58,6,4,B,3,14,12,15,25,R,1,<18,Masculino
87,41,14,15,0,91,50,38,5,3,B,1,25,22,6,29,R,1,<18,Masculino
88,25,15,4,64,59,9,2,10,1,A,11,11,28,6,25,D,1,<18,Masculino
89,43,17,16,62,58,71,75,7,3,C,0,26,37,17,6,R,1,<18,Masculino
90,13,13,9,53,32,20,6,0,2,C,4,17,36,17,6,D,1,<18,Masculino
91,36,2,20,41,18,69,48,9,4,C,5,35,19,1,30,D,1,<18,Masculino
92,20,11,17,20,27,84,25,10,2,C,10,26,32,14,4,R,1,<18,Masculino
93,17,8,6,78,51,56,32,6,2,A,7,8,28,13,2,D,1,<18,Masculino
94,4,27,2,80,48,38,100,6,1,B,6,0,49,17,17,R,1,<18,Masculino
95,2,6,12,21,36,87,47,10,0,B,3,6,14,8,14,D,1,<18,Masculino
96,22,8,14,37,25,32,78,6,2,C,5,25,22,13,30,D,1,<18,Masculino
97,25,12,19,98,98,58,1,6,3,A,15,6,41,4,19,D,1,<18,Masculino
98,36,17,18,79,97,17,70,9,0,A,14,6,2,10,13,R,1,<18,Masculino
