Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
1,18-30,Male,Advanced,17,4,11,73,1,83,57,8,3,A,3,9,41,9,27,R
2,18-30,Female,Intermediate,38,12,10,21,37,22,44,0,2,C,2,22,46,15,23,D
3,31-45,Male,Advanced,16,7,19,93,76,67,50,9,0,B,12,22,6,6,27,D
4,18-30,Female,Beginner,29,3,20,54,8,58,48,2,3,B,2,1,13,19,28,D
5,31-45,Female,Intermediate,2,18,2,54,52,73,9,5,2,A,10,27,3,19,20,D
6,18-30,Female,Beginner,20,8,4,10,79,53,12,10,2,B,5,2,20,2,0,D
7,>60,Male,Beginner,43,13,24,34,86,2,55,3,1,A,5,31,2,11,13,D
8,18-30,Female,Intermediate,19,11,21,35,72,95,71,2,4,A,17,28,3,7,29,R
9,<18,Female,Advanced,23,7,8,22,83,14,47,8,2,A,10,10,33,16,20,R
10,<18,Male,Advanced,34,7,2,75,57,52,90,4,3,C,2,21,10,15,2,D
11,46-60,Male,Advanced,10,20,10,36,44,17,66,9,3,B,4,0,27,4,22,D
12,46-60,Male,Advanced,30,17,22,74,40,64,22,6,4,B,8,1,9,18,24,D
13,>60,Male,Intermediate,34,30,22,87,68,8,49,8,0,A,12,5,14,3,23,D
14,18-30,Male,Beginner,11,17,17,22,8,36,42,2,2,A,0,5,33,11,15,D
15,<18,Female,Beginner,7,24,19,58,71,45,25,5,3,A,13,28,38,18,29,D
16,31-45,Female,Beginner,47,26,13,1,77,96,44,8,3,A,13,36,12,8,22,R
17,>60,Male,Beginner,21,8,18,31,24,57,34,5,3,A,0,0,1,15,0,D
18,<18,Male,Intermediate,18,1,10,38,67,53,78,8,2,A,5,32,50,14,27,D
19,>60,Female,Advanced,6,11,19,9,31,11,68,8,0,A,5,31,25,13,25,D
20,18-30,Female,Advanced,25,30,4,73,33,49,100,2,3,C,16,31,37,12,11,D
21,46-60,Female,Advanced,43,9,9,42,59,68,57,6,1,C,17,16,28,7,13,R
22,<18,Male,Beginner,3,4,0,52,14,77,47,4,2,C,2,30,14,2,1,D
23,31-45,Female,Intermediate,48,13,2,23,67,95,11,9,0,B,5,13,40,2,27,R
24,46-60,Male,Beginner,35,5,19,53,84,68,6,5,1,C,9,26,31,4,23,R
25,46-60,Female,Intermediate,1,8,1,64,77,67,12,3,0,A,7,5,10,9,2,R
26,>60,Male,Intermediate,20,17,22,31,26,89,45,5,0,A,15,14,42,17,1,R
27,18-30,Male,Advanced,39,23,25,84,1,29,14,4,4,B,8,34,6,2,10,R
28,>60,Female,Beginner,48,19,5,100,17,68,67,8,1,B,17,30,36,4,7,R
29,18-30,Male,Beginner,11,10,8,74,42,19,43,7,1,A,8,31,0,5,6,D
30,<18,Male,Intermediate,38,23,15,64,34,24,63,10,3,C,14,22,32,13,3,D
31,18-30,Female,Beginner,0,17,8,19,32,18,3,5,1,B,14,11,16,15,0,R
32,>60,Female,Intermediate,35,5,14,63,97,25,23,10,2,A,12,30,16,15,20,D
33,18-30,Female,Beginner,49,3,8,93,81,79,18,0,3,B,9,15,34,16,22,R
34,>60,Female,Beginner,43,6,13,78,52,62,12,6,0,C,11,17,36,16,22,D
35,18-30,Male,Intermediate,33,14,24,71,18,81,44,5,2,A,4,5,19,18,23,R
36,46-60,Female,Beginner,49,27,2,8,20,51,37,0,3,B,1,12,47,16,20,D
37,>60,Female,Intermediate,11,0,8,3,60,48,66,4,3,C,4,36,47,3,0,R
38,31-45,Male,Beginner,45,11,6,47,63,69,26,10,2,A,2,12,31,0,1,R
39,18-30,Male,Intermediate,49,11,13,96,40,87,90,2,0,A,3,36,45,1,20,R
40,<18,Male,Intermediate,10,14,24,18,94,47,45,10,0,B,17,17,47,5,4,R
41,<18,Female,Beginner,9,28,7,60,46,48,12,2,2,A,13,9,46,4,29,R
42,46-60,Male,Intermediate,40,4,18,44,11,78,90,5,1,B,4,25,40,11,19,R
43,31-45,Male,Beginner,39,27,24,63,4,6,70,6,0,B,7,3,48,3,1,D
44,46-60,Male,Intermediate,14,4,1,42,23,11,32,2,1,C,17,18,14,17,26,R
45,46-60,Male,Advanced,25,17,12,74,94,65,28,5,4,A,16,11,17,14,3,D
46,31-45,Male,Beginner,16,20,22,88,35,75,23,0,4,A,4,17,7,5,20,R
47,<18,Female,Intermediate,28,3,21,77,99,9,44,10,3,B,4,31,0,16,5,D
48,>60,Male,Intermediate,30,20,16,51,42,61,19,7,3,C,13,28,39,15,10,R
49,>60,Female,Intermediate,39,22,7,79,15,2,49,7,4,B,16,21,26,18,23,D
50,31-45,Female,Intermediate,1,28,2,85,57,35,8,3,1,C,18,20,17,6,0,D
51,31-45,Female,Beginner,19,26,19,53,68,83,29,0,0,B,18,10,42,1,6,D
52,46-60,Female,Beginner,20,29,13,94,63,26,8,6,2,A,13,18,26,9,24,R
53,>60,Male,Beginner,34,11,11,31,9,62,86,5,3,A,3,26,30,18,24,R
54,31-45,Female,Intermediate,42,22,17,86,70,10,82,7,1,B,14,36,10,13,29,D
55,>60,Male,Intermediate,12,2,2,48,94,28,33,3,1,C,9,0,12,15,24,D
56,18-30,Female,Beginner,29,13,9,90,69,49,5,0,0,B,2,18,8,15,23,R
57,31-45,Female,Intermediate,41,29,2,95,71,4,1,5,4,C,16,28,50,5,25,D
58,<18,Female,Advanced,5,23,3,6,89,71,22,5,1,A,8,1,44,10,13,D
59,18-30,Male,Beginner,22,0,17,20,11,99,2,2,3,B,11,26,36,5,0,D
60,31-45,Male,Beginner,47,27,6,33,36,7,31,0,0,B,0,7,23,9,22,R
61,>60,Female,Intermediate,26,30,9,1,58,27,33,0,2,B,2,36,4,1,10,D
62,<18,Female,Beginner,46,23,21,100,34,83,54,6,2,B,5,4,2,18,17,R
63,46-60,Female,Intermediate,25,6,7,12,85,97,15,8,3,C,12,23,34,8,12,R
64,46-60,Male,Advanced,45,16,24,82,54,71,80,9,2,B,10,4,26,16,19,R
65,>60,Male,Beginner,18,15,15,68,84,40,60,0,1,B,17,35,28,2,2,D
66,>60,Female,Intermediate,33,18,18,81,33,70,23,8,1,A,17,23,41,13,26,R
67,18-30,Female,Advanced,20,27,2,89,62,51,59,9,4,A,17,15,4,2,2,R
68,18-30,Female,Advanced,24,18,19,9,44,4,27,0,2,B,1,4,6,9,21,D
69,>60,Male,Beginner,14,16,14,52,86,76,17,10,4,C,5,21,35,14,9,R
70,<18,Male,Beginner,47,19,18,74,97,55,3,10,2,C,3,5,39,3,23,R
71,31-45,Male,Intermediate,27,3,19,47,82,49,57,4,4,C,1,13,10,17,26,D
72,18-30,Male,Advanced,16,15,4,10,30,84,25,9,3,A,12,13,7,8,16,D
73,<18,Female,Intermediate,47,24,23,63,61,41,7,0,1,A,17,29,38,19,3,R
74,>60,Male,Advanced,30,10,18,5,14,55,1,6,4,A,4,18,42,20,28,D
75,46-60,Male,Beginner,31,21,14,99,32,26,39,0,3,C,5,28,12,17,25,R
76,31-45,Female,Intermediate,39,19,17,50,80,35,9,4,4,B,14,11,23,14,8,D
77,>60,Male,Intermediate,17,4,4,29,2,9,18,5,1,C,14,2,23,19,12,D
78,>60,Female,Beginner,44,14,18,67,33,70,69,4,0,A,13,36,32,3,13,D
79,46-60,Male,Advanced,39,29,10,24,7,96,8,9,0,A,5,30,29,2,23,D
80,18-30,Male,Beginner,45,18,15,51,54,45,83,6,2,C,16,10,24,13,30,D
81,46-60,Male,Intermediate,42,1,1,96,55,30,28,8,2,B,8,32,20,9,20,R
82,>60,Female,Beginner,17,6,6,3,19,4,66,8,0,B,8,29,25,18,15,R
83,>60,Female,Advanced,33,4,1,52,10,19,66,0,0,A,11,4,16,6,23,R
84,31-45,Male,Advanced,32,21,25,65,79,35,31,9,4,C,1,28,2,16,9,R
85,<18,Male,Advanced,38,20,17,82,25,46,7,1,1,B,12,17,14,7,6,R
86,<18,Female,Beginner,48,8,18,7,40,84,7,9,4,C,8,27,41,0,20,D
87,46-60,Female,Beginner,0,20,7,72,56,25,39,0,0,A,4,6,11,1,7,R
88,<18,Female,Advanced,43,0,11,60,80,93,24,3,1,A,11,25,2,16,24,D
89,>60,Female,Advanced,42,30,23,3,81,21,34,5,2,C,16,7,48,6,18,D
90,>60,Male,Advanced,2,7,4,99,76,59,45,7,3,B,2,19,15,4,27,D
91,46-60,Male,Advanced,32,8,14,53,40,56,27,6,0,C,16,21,18,1,22,D
92,31-45,Female,Beginner,5,27,3,40,0,9,62,3,3,B,8,12,4,7,23,D
93,>60,Male,Advanced,42,11,7,90,42,50,25,0,3,A,8,27,28,10,26,D
94,<18,Male,Beginner,25,27,9,85,76,58,84,10,3,A,10,2,36,1,8,D
95,46-60,Female,Advanced,45,28,22,70,30,39,57,2,4,A,9,30,15,3,18,D
96,>60,Female,Advanced,4,3,4,3,42,52,42,9,2,A,0,24,24,9,3,R
