Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
1,46-60,Female,Advanced,48,16,13,0,79,20,86,7,2,C,13,32,18,19,6,D
2,>60,Female,Beginner,29,25,4,88,71,71,92,8,4,B,6,35,47,20,19,R
3,31-45,Female,Advanced,44,28,10,65,55,20,4,9,0,B,14,32,21,9,23,D
4,>60,Female,Beginner,5,25,15,29,88,10,41,1,4,C,15,30,48,8,23,R
5,>60,Female,Advanced,16,17,1,2,49,37,6,8,3,A,18,20,14,4,22,D
6,18-30,Male,Advanced,44,21,7,20,11,71,41,7,2,C,5,26,0,7,25,R
7,31-45,Female,Intermediate,50,5,10,88,88,87,35,6,2,B,0,26,1,10,24,D
8,31-45,Male,Beginner,18,16,17,83,80,34,26,2,3,A,11,7,7,0,3,R
9,31-45,Female,Intermediate,41,22,2,48,59,13,57,1,0,C,17,36,21,20,6,D
10,>60,Male,Beginner,34,23,25,85,25,13,45,6,3,A,15,31,24,9,9,D
11,46-60,Female,Advanced,45,17,0,84,77,9,65,4,0,A,11,25,1,0,25,R
12,31-45,Male,Advanced,25,7,10,61,40,11,24,5,1,B,12,1,50,6,14,D
13,>60,Female,Beginner,50,8,15,96,35,37,72,3,2,A,7,11,8,13,11,D
14,18-30,Male,Intermediate,4,5,17,37,22,33,26,1,0,C,0,21,8,4,0,D
15,46-60,Female,Intermediate,28,4,15,14,42,40,0,8,4,A,6,16,12,16,19,D
16,18-30,Male,Intermediate,36,11,22,51,5,9,86,2,4,A,14,6,5,20,17,R
17,46-60,Female,Intermediate,19,24,9,78,68,16,73,6,2,C,12,3,29,5,24,R
18,>60,Male,Advanced,48,28,17,45,42,16,41,7,3,B,12,36,14,15,15,D
19,<18,Male,Advanced,20,27,5,24,24,66,51,1,3,B,8,31,50,10,4,R
20,46-60,Female,Advanced,9,10,18,20,17,61,24,5,0,C,14,10,14,9,18,R
21,18-30,Female,Advanced,4,24,3,87,61,94,53,10,3,C,3,0,49,14,3,R
22,>60,Male,Advanced,35,0,12,4,12,0,66,7,2,B,12,24,6,6,5,R
23,46-60,Female,Intermediate,5,10,23,69,42,11,5,6,0,A,11,23,10,1,25,R
